grupo,categoria,medida,valor
panorama,total,naturales_total,26108
naturales_provincia,PICHINCHA,valor,8367
naturales_provincia,GUAYAS,valor,3876
naturales_provincia,AZUAY,valor,1831
naturales_provincia,MANABÍ,valor,1527
naturales_provincia,TUNGURAHUA,valor,1215
naturales_provincia,IMBABURA,valor,1164
naturales_provincia,CHIMBORAZO,valor,744
naturales_provincia,LOJA,valor,721
naturales_provincia,COTOPAXI,valor,689
naturales_provincia,SANTA ELENA,valor,685
naturales_provincia,PASTAZA,valor,626
naturales_provincia,ORELLANA,valor,593
naturales_provincia,SANTO DOMINGO DE LOS TSÁCHILAS,valor,577
naturales_provincia,NAPO,valor,562
naturales_provincia,EL ORO,valor,433
naturales_provincia,CAÑAR,valor,394
naturales_provincia,SUCUMBÍOS,valor,373
naturales_provincia,ESMERALDAS,valor,365
naturales_provincia,LOS RÍOS,valor,279
naturales_provincia,SIN DATO,valor,237
naturales_provincia,CARCHI,valor,215
naturales_provincia,MORONA SANTIAGO,valor,198
naturales_provincia,BOLÍVAR,valor,187
naturales_provincia,ZAMORA CHINCHIPE,valor,154
naturales_provincia,GALAPAGOS,valor,96
naturales_sexo,HOMBRE,valor,15006
naturales_sexo,MUJER,valor,7976
naturales_sexo,SIN DATO,valor,3126
naturales_etnia,MESTIZO/A,valor,17423
naturales_etnia,SIN DATO,valor,4896
naturales_etnia,INDÍGENA,valor,1554
naturales_etnia,MONTUBIO/A,valor,761
naturales_etnia,BLANCO/A,valor,681
naturales_etnia,AFROECUATORIANO/A O AFRODESCENDIENTE,valor,425
naturales_etnia,NEGRO/A,valor,368
naturales_discapacidad,NO,valor,25549
naturales_discapacidad,SI,valor,559
naturales_escolaridad,SIN DATO,valor,7811
naturales_escolaridad,ESTUDIANTE,valor,6254
naturales_escolaridad,LICENCIADO,valor,1041
naturales_escolaridad,BACHILL. EN CIENCIAS,valor,859
naturales_escolaridad,EMPLEADO PRIVADO,valor,846
naturales_escolaridad,LICENCIADA,valor,709
naturales_escolaridad,EMPLEADO,valor,480
naturales_escolaridad,INGENIERO,valor,476
naturales_escolaridad,BACHILLER,valor,471
naturales_escolaridad,MAGISTER,valor,408
naturales_escolaridad,MUSICO,valor,339
naturales_escolaridad,LAS PERMI.POR.LA.LEY,valor,309
naturales_escolaridad,TECNOLOGO,valor,304
naturales_escolaridad,EMPLEADO PARTICULAR,valor,250
naturales_escolaridad,INGENIERA,valor,209
naturales_escolaridad,COMERCIANTE,valor,193
naturales_escolaridad,EMPLEADO PUBLICO,valor,189
naturales_escolaridad,ARTISTA,valor,183
naturales_escolaridad,MASTER,valor,179
naturales_escolaridad,QUEHACER. DOMESTICOS,valor,179
naturales_escolaridad,ARTISTA PROF CALIFIC,valor,177
naturales_escolaridad,TECNÓLOGA,valor,113
naturales_escolaridad,NINGUNA,valor,112
naturales_escolaridad,ABOGADO,valor,109
naturales_escolaridad,BACH. CC SOCIALES,valor,107
naturales_escolaridad,CANTANTE,valor,97
naturales_escolaridad,ARQUITECTO,valor,77
naturales_escolaridad,CONTADOR BACHILLER,valor,72
naturales_escolaridad,CHOFER PROFESIONAL,valor,71
naturales_escolaridad,LIC.CC.EDUCACION,valor,70
naturales_escolaridad,BACHILLER COMER-ADM,valor,64
naturales_escolaridad,ACTOR,valor,63
naturales_escolaridad,BACHILLER C.FIS.MATE,valor,61
naturales_escolaridad,AGRICULTOR,valor,60
naturales_escolaridad,ARTESANO,valor,60
naturales_escolaridad,BACH.TECNICO.INDUSTR,valor,59
naturales_escolaridad,BACHILLER C.QUIM.BIO,valor,58
naturales_escolaridad,BACH.TEC.COMER-ADMI.,valor,55
naturales_escolaridad,ARTISTA PLASTICO,valor,51
naturales_escolaridad,EMPRESARIO,valor,51
naturales_escolaridad,PERIODISTA,valor,50
naturales_escolaridad,FOTOGRAFO,valor,48
naturales_escolaridad,PRODUCTOR,valor,47
naturales_escolaridad,ABOGADA,valor,47
naturales_escolaridad,PROFESOR,valor,46
naturales_escolaridad,BACHILLER INFORMATIC,valor,45
naturales_escolaridad,JORNALERO,valor,45
naturales_escolaridad,BACHILLER TECNICO,valor,45
naturales_escolaridad,ECONOMISTA,valor,44
naturales_escolaridad,DISEÑADOR,valor,43
naturales_escolaridad,TÉCNICO SUPERIOR,valor,38
naturales_escolaridad,PSICÓLOGO,valor,35
naturales_escolaridad,BACH.CIENCIAS GENERALES,valor,35
naturales_escolaridad,DISEÑADOR GRAFICO,valor,34
naturales_escolaridad,TECNICO,valor,34
naturales_escolaridad,PROFESOR EN GENERAL,valor,33
naturales_escolaridad,COMUNICADOR SOCIAL,valor,32
naturales_escolaridad,INGENIERO COMERCIAL,valor,31
naturales_escolaridad,PRODUCTOR T.V.,valor,30
naturales_escolaridad,DISENADOR,valor,30
naturales_escolaridad,LIC. CC.COM.SOCIAL,valor,29
naturales_escolaridad,LIC. COMUNIC. SOCIAL,valor,29
naturales_escolaridad,BACHILLER EN ARTES,valor,29
naturales_escolaridad,LIC. MUSICA,valor,26
naturales_escolaridad,ARQUITECTA,valor,26
naturales_escolaridad,PSICOLOGO CLINICO,valor,25
naturales_escolaridad,PINTOR,valor,25
naturales_escolaridad,PSICÓLOGA,valor,25
naturales_escolaridad,MEDICO,valor,24
naturales_escolaridad,BACH.TEC.CONTAB.ADMI,valor,24
naturales_escolaridad,ACTRIZ,valor,24
naturales_escolaridad,BACH.T.POLIV.CON.ADM,valor,24
naturales_escolaridad,ESCRITOR,valor,23
naturales_escolaridad,DIPLOMADO SUPERIOR,valor,23
naturales_escolaridad,PROFESOR EN MUSICA,valor,23
naturales_escolaridad,CINEASTA,valor,22
naturales_escolaridad,ACTIV.LUCR.PERM.LEY,valor,22
naturales_escolaridad,BACHILLER SERVICIOS,valor,22
naturales_escolaridad,OBRERO,valor,21
naturales_escolaridad,BAILARIN,valor,20
naturales_escolaridad,BACH.TÉC.SER.APL.I,valor,20
naturales_escolaridad,BACH.TEC.SERV.CONTAB,valor,20
naturales_escolaridad,JUBILADO,valor,19
naturales_escolaridad,PROFESOR EDUC.PRIMAR,valor,19
naturales_escolaridad,BACHILLER AGROPECUAR,valor,19
naturales_escolaridad,LICENCIADO EN ARTES,valor,18
naturales_escolaridad,SOCIOLOGO,valor,18
naturales_escolaridad,BACH TEC/INDUS/ELECT,valor,18
naturales_escolaridad,BACH.TEC. AGROPECUAR,valor,18
naturales_escolaridad,NEGOCIO PROPIO,valor,17
naturales_escolaridad,DOCTOR - LEYES,valor,17
naturales_escolaridad,LOCUTOR,valor,16
naturales_escolaridad,BACHILLER TURISMO,valor,16
naturales_escolaridad,DOCTORADO,valor,15
naturales_escolaridad,LCDO. COMUNICACION,valor,15
naturales_escolaridad,PUBLICISTA,valor,15
naturales_escolaridad,DOCTOR - CIENCIAS,valor,14
naturales_escolaridad,NEGOCIANTE,valor,14
naturales_escolaridad,MILITAR SERV. PASIVO,valor,14
naturales_escolaridad,AUXILIAR. ENFERMERIA,valor,13
naturales_escolaridad,EBANISTA,valor,13
naturales_escolaridad,PROMOTOR CULTURAL,valor,12
naturales_escolaridad,CONTADOR,valor,12
naturales_escolaridad,MECANICO,valor,11
naturales_escolaridad,CARPINTERO,valor,11
naturales_escolaridad,COSTURERA/O,valor,10
naturales_escolaridad,LIC. ARTES VISUALES,valor,10
naturales_escolaridad,ODONTÓLOGO,valor,10
naturales_escolaridad,MECANICO AUTOMOTRIZ,valor,10
naturales_escolaridad,ANTROPÓLOGO,valor,9
naturales_escolaridad,ING. CIVIL,valor,9
naturales_escolaridad,PROFESORA,valor,9
naturales_escolaridad,BACH.TEC.INF.ADM.SIS,valor,9
naturales_escolaridad,MAESTRA EN BELLEZA,valor,9
naturales_escolaridad,ALBANIL,valor,9
naturales_escolaridad,MAESTRIA,valor,8
naturales_escolaridad,LIC/DISEÑO/PROD/AUDI,valor,8
naturales_escolaridad,INSTRUCTOR,valor,8
naturales_escolaridad,TECNÓL.ACTUAC.TV.,valor,8
naturales_escolaridad,BACH.TEC.IND.ELECTRO,valor,8
naturales_escolaridad,BACH.TEC.IND.ME.CO.M,valor,8
naturales_escolaridad,ELECTRICISTA,valor,8
naturales_escolaridad,TEJEDOR,valor,8
naturales_escolaridad,BACH.TEC.MECAN.AUTOM,valor,8
naturales_escolaridad,BACHILLER ELECTROMEC,valor,8
naturales_escolaridad,ARQUEÓLOGO,valor,7
naturales_escolaridad,PROFES.2DA.ENSENANZA,valor,7
naturales_escolaridad,ARTISTA PINTOR,valor,7
naturales_escolaridad,PROFESOR EN ARTE,valor,7
