grupo,categoria,medida,valor
panorama,total,vitalicios_total,334
panorama,total,vitalicios_monto_mensual_usd,250538
vitalicios_residencia,NACIONAL,valor,276
vitalicios_residencia,EXTRANJERO,valor,58
vitalicios_provincia,GUAYAS,valor,87
vitalicios_provincia,PICHINCHA,valor,71
vitalicios_provincia,EXTRANJERO,valor,57
vitalicios_provincia,AZUAY,valor,36
vitalicios_provincia,ESMERALDAS,valor,23
vitalicios_provincia,LOS RIOS,valor,13
vitalicios_provincia,MANABI,valor,11
vitalicios_provincia,TUNGURAHUA,valor,9
vitalicios_provincia,IMBABURA,valor,7
vitalicios_provincia,Otros / protegido,valor,20
vitalicios_estado,VALIDADO,valor,334
panorama,total,alto_rendimiento_total,401
panorama,total,alto_rendimiento_estimulo_usd,608062
ar_deporte,ATLETISMO,valor,47
ar_deporte,KARATE,valor,26
ar_deporte,LEV. PESAS,valor,25
ar_deporte,PATINAJE,valor,20
ar_deporte,CICLISMO,valor,19
ar_deporte,PARA_ATLETISMO,valor,18
ar_deporte,LUCHA,valor,17
ar_deporte,NATACIÓN,valor,15
ar_deporte,SQUASH,valor,15
ar_deporte,PARA- ATLETISMO,valor,14
ar_deporte,BOXEO,valor,13
ar_deporte,FISICO CULTURISMO Y LEVANTAMIENTO DE POTENCIA,valor,13
ar_deporte,JUDO,valor,13
ar_deporte,VELA,valor,12
ar_deporte,TAEKWONDO,valor,11
ar_deporte,TRIATLÓN,valor,11
ar_deporte,TENIS DE MESA,valor,10
ar_deporte,RACQUETBALL,valor,9
ar_deporte,TENIS,valor,9
ar_deporte,TIRO CON ARCO,valor,9
ar_deporte,CANOTAJE,valor,7
ar_deporte,GIMNASIA,valor,7
ar_deporte,PENTATLÓN MODERNO,valor,6
ar_deporte,SURF,valor,6
ar_deporte,ANDINISMO Y ESCALADA,valor,5
ar_deporte,VOLEIBOL,valor,5
ar_deporte,Otros / protegido,valor,39
ar_provincia,PICHINCHA,valor,116
ar_provincia,GUAYAS,valor,105
ar_provincia,AZUAY,valor,42
ar_provincia,IMBABURA,valor,24
ar_provincia,CARCHI,valor,19
ar_provincia,MANABI,valor,11
ar_provincia,LOS RIOS,valor,10
ar_provincia,SANTO DOMINGO DE LOS TSÁCHILAS,valor,9
ar_provincia,TUNGURAHUA,valor,8
ar_provincia,EL ORO,valor,7
ar_provincia,ESMERALDAS,valor,7
ar_provincia,CHIMBORAZO,valor,7
ar_provincia,LOJA,valor,6
ar_provincia,COTOPAXI,valor,5
ar_provincia,Otros / protegido,valor,25
ar_genero,H,valor,229
ar_genero,M,valor,172
ar_categoria_edad,ABSOLUTA,valor,212
ar_categoria_edad,JUVENIL,valor,96
ar_categoria_edad,SENIOR,valor,26
ar_categoria_edad,SUB 23,valor,16
ar_categoria_edad,ÉLITE,valor,12
ar_categoria_edad,U23,valor,7
ar_categoria_edad,U20,valor,6
ar_categoria_edad,ADULTO,valor,6
ar_categoria_edad,Otros / protegido,valor,20
ar_grupo,A,valor,161
ar_grupo,C,valor,96
ar_grupo,B,valor,90
ar_grupo,D,valor,54
panorama,total,juegos_nacionales_total,2756
jn_deporte,FUTBOL,valor,403
jn_deporte,BALONCESTO 5 X 5,valor,327
jn_deporte,ATLETISMO,valor,230
jn_deporte,VOLEIBOL,valor,174
jn_deporte,LUCHA,valor,171
jn_deporte,BOXEO,valor,147
jn_deporte,TAE KWON DO,valor,141
jn_deporte,AJEDREZ,valor,131
jn_deporte,LEVANTAMIENTO DE PESAS,valor,125
jn_deporte,NATACION,valor,113
jn_deporte,JUDO,valor,111
jn_deporte,KARATE DO,valor,96
jn_deporte,BALONCESTO 3 X 3,valor,93
jn_deporte,CICLISMO PISTA Y RUTA,valor,81
jn_deporte,VOLEIBOL PLAYA,valor,70
jn_deporte,TENIS DE MESA,valor,66
jn_deporte,PATINAJE,valor,54
jn_deporte,TENIS DE CAMPO,valor,41
jn_deporte,ESCALADA DEPORTIVA,valor,37
jn_deporte,POOMSAE,valor,37
jn_deporte,TIRO CON ARCO,valor,35
jn_deporte,TRIATLON,valor,32
jn_deporte,CICLISMO MONTAÑA MTB,valor,22
jn_deporte,CICLISMO BMX,valor,19
