grupo,categoria,medida,valor
serie_anio,2010-2011 Inicio,instituciones,26919
serie_anio,2010-2011 Inicio,estudiantes_total,4227768
serie_anio,2010-2011 Inicio,estudiantes_femenino,2091495
serie_anio,2010-2011 Inicio,estudiantes_masculino,2136273
serie_anio,2010-2011 Inicio,docentes_total,236434
serie_anio,2011-2012 Inicio,instituciones,27651
serie_anio,2011-2012 Inicio,estudiantes_total,4380546
serie_anio,2011-2012 Inicio,estudiantes_femenino,2169819
serie_anio,2011-2012 Inicio,estudiantes_masculino,2210727
serie_anio,2011-2012 Inicio,docentes_total,238189
serie_anio,2012-2013 Inicio,instituciones,26458
serie_anio,2012-2013 Inicio,estudiantes_total,4449216
serie_anio,2012-2013 Inicio,estudiantes_femenino,2209103
serie_anio,2012-2013 Inicio,estudiantes_masculino,2240113
serie_anio,2012-2013 Inicio,docentes_total,232580
serie_anio,2013-2014 Inicio,instituciones,24573
serie_anio,2013-2014 Inicio,estudiantes_total,4560138
serie_anio,2013-2014 Inicio,estudiantes_femenino,2258481
serie_anio,2013-2014 Inicio,estudiantes_masculino,2301657
serie_anio,2013-2014 Inicio,docentes_total,225191
serie_anio,2014-2015 Inicio,instituciones,23317
serie_anio,2014-2015 Inicio,estudiantes_total,4728582
serie_anio,2014-2015 Inicio,estudiantes_femenino,2341575
serie_anio,2014-2015 Inicio,estudiantes_masculino,2387007
serie_anio,2014-2015 Inicio,docentes_total,230161
serie_anio,2015-2016 Inicio,instituciones,18624
serie_anio,2015-2016 Inicio,estudiantes_total,4627946
serie_anio,2015-2016 Inicio,estudiantes_femenino,2292624
serie_anio,2015-2016 Inicio,estudiantes_masculino,2335322
serie_anio,2015-2016 Inicio,docentes_total,218563
serie_anio,2016-2017 Inicio,instituciones,17213
serie_anio,2016-2017 Inicio,estudiantes_total,4581883
serie_anio,2016-2017 Inicio,estudiantes_femenino,2269918
serie_anio,2016-2017 Inicio,estudiantes_masculino,2311965
serie_anio,2016-2017 Inicio,docentes_total,214917
serie_anio,2017-2018 Inicio,instituciones,16624
serie_anio,2017-2018 Inicio,estudiantes_total,4516067
serie_anio,2017-2018 Inicio,estudiantes_femenino,2236591
serie_anio,2017-2018 Inicio,estudiantes_masculino,2279476
serie_anio,2017-2018 Inicio,docentes_total,217321
serie_anio,2018-2019 Inicio,instituciones,16555
serie_anio,2018-2019 Inicio,estudiantes_total,4473021
serie_anio,2018-2019 Inicio,estudiantes_femenino,2217826
serie_anio,2018-2019 Inicio,estudiantes_masculino,2255195
serie_anio,2018-2019 Inicio,docentes_total,219866
serie_anio,2019-2020 Inicio,instituciones,16422
serie_anio,2019-2020 Inicio,estudiantes_total,4407030
serie_anio,2019-2020 Inicio,estudiantes_femenino,2186926
serie_anio,2019-2020 Inicio,estudiantes_masculino,2220104
serie_anio,2019-2020 Inicio,docentes_total,219995
serie_anio,2020-2021 Inicio,instituciones,16209
serie_anio,2020-2021 Inicio,estudiantes_total,4314777
serie_anio,2020-2021 Inicio,estudiantes_femenino,2138904
serie_anio,2020-2021 Inicio,estudiantes_masculino,2175873
serie_anio,2020-2021 Inicio,docentes_total,206875
serie_anio,2021-2022 Inicio,instituciones,16095
serie_anio,2021-2022 Inicio,estudiantes_total,4309139
serie_anio,2021-2022 Inicio,estudiantes_femenino,2135739
serie_anio,2021-2022 Inicio,estudiantes_masculino,2173400
serie_anio,2021-2022 Inicio,docentes_total,203595
serie_anio,2022-2023 Inicio,instituciones,15997
serie_anio,2022-2023 Inicio,estudiantes_total,4322138
serie_anio,2022-2023 Inicio,estudiantes_femenino,2146920
serie_anio,2022-2023 Inicio,estudiantes_masculino,2175218
serie_anio,2022-2023 Inicio,docentes_total,208876
serie_anio,2023-2024 Inicio,instituciones,16140
serie_anio,2023-2024 Inicio,estudiantes_total,4202798
serie_anio,2023-2024 Inicio,estudiantes_femenino,2086280
serie_anio,2023-2024 Inicio,estudiantes_masculino,2116518
serie_anio,2023-2024 Inicio,docentes_total,213468
serie_anio,2024-2025 Inicio,instituciones,16152
serie_anio,2024-2025 Inicio,estudiantes_total,4106819
serie_anio,2024-2025 Inicio,estudiantes_femenino,2039230
serie_anio,2024-2025 Inicio,estudiantes_masculino,2067589
serie_anio,2024-2025 Inicio,docentes_total,215030
serie_anio,2025-2026 Inicio,instituciones,16215
serie_anio,2025-2026 Inicio,estudiantes_total,4039650
serie_anio,2025-2026 Inicio,estudiantes_femenino,2005491
serie_anio,2025-2026 Inicio,estudiantes_masculino,2034159
serie_anio,2025-2026 Inicio,docentes_total,217693
panorama,total,estudiantes_total,4039650
panorama,total,estudiantes_femenino,2005491
panorama,total,estudiantes_masculino,2034159
panorama,total,docentes_total,217693
panorama,total,docentes_femenino,157629
panorama,total,docentes_masculino,60064
panorama,total,instituciones_total,16215
estudiantes_provincia,AZUAY,valor,188325
estudiantes_provincia,BOLIVAR,valor,45857
estudiantes_provincia,CARCHI,valor,37296
estudiantes_provincia,CAÑAR,valor,56817
estudiantes_provincia,CHIMBORAZO,valor,107125
estudiantes_provincia,COTOPAXI,valor,110441
estudiantes_provincia,EL ORO,valor,162409
estudiantes_provincia,ESMERALDAS,valor,156617
estudiantes_provincia,GALAPAGOS,valor,7277
estudiantes_provincia,GUAYAS,valor,1011598
estudiantes_provincia,IMBABURA,valor,112568
estudiantes_provincia,LOJA,valor,109327
estudiantes_provincia,LOS RIOS,valor,219025
estudiantes_provincia,MANABI,valor,386714
estudiantes_provincia,MORONA SANTIAGO,valor,65111
estudiantes_provincia,NAPO,valor,41252
estudiantes_provincia,ORELLANA,valor,57459
estudiantes_provincia,PASTAZA,valor,34986
estudiantes_provincia,PICHINCHA,valor,671264
estudiantes_provincia,SANTA ELENA,valor,102827
estudiantes_provincia,SANTO DOMINGO DE LOS TSACHILAS,valor,134469
estudiantes_provincia,SUCUMBIOS,valor,60106
estudiantes_provincia,TUNGURAHUA,valor,127150
estudiantes_provincia,ZAMORA CHINCHIPE,valor,33293
estudiantes_provincia,ZONA NO DELIMITADA,valor,337
estudiantes_sostenimiento,FISCAL,valor,2925188
estudiantes_sostenimiento,FISCOMISIONAL,valor,268036
estudiantes_sostenimiento,MUNICIPAL,valor,35164
estudiantes_sostenimiento,PARTICULAR,valor,811262
estudiantes_area,RURAL,valor,929157
estudiantes_area,URBANA,valor,3110493
estudiantes_tipo_educacion,EDUCACIÓN ESPECIAL,valor,9762
estudiantes_tipo_educacion,EDUCACIÓN ORDINARIA,valor,3997941
estudiantes_tipo_educacion,ESCOLARIDAD INCONCLUSA,valor,31947
docentes_provincia,AZUAY,valor,11096
docentes_provincia,BOLIVAR,valor,2934
docentes_provincia,CARCHI,valor,2420
docentes_provincia,CAÑAR,valor,3242
docentes_provincia,CHIMBORAZO,valor,7206
docentes_provincia,COTOPAXI,valor,6424
docentes_provincia,EL ORO,valor,9039
docentes_provincia,ESMERALDAS,valor,8197
docentes_provincia,GALAPAGOS,valor,503
docentes_provincia,GUAYAS,valor,46689
docentes_provincia,IMBABURA,valor,6549
docentes_provincia,LOJA,valor,8017
docentes_provincia,LOS RIOS,valor,9809
docentes_provincia,MANABI,valor,21088
docentes_provincia,MORONA SANTIAGO,valor,3675
docentes_provincia,NAPO,valor,2795
docentes_provincia,ORELLANA,valor,3208
docentes_provincia,PASTAZA,valor,2169
docentes_provincia,PICHINCHA,valor,38696
docentes_provincia,SANTA ELENA,valor,4887
docentes_provincia,SANTO DOMINGO DE LOS TSACHILAS,valor,6341
docentes_provincia,SUCUMBIOS,valor,3583
docentes_provincia,TUNGURAHUA,valor,6824
docentes_provincia,ZAMORA CHINCHIPE,valor,2262
docentes_provincia,ZONA NO DELIMITADA,valor,40
instituciones_provincia,AZUAY,valor,852
instituciones_provincia,BOLIVAR,valor,392
instituciones_provincia,CARCHI,valor,153
instituciones_provincia,CAÑAR,valor,325
instituciones_provincia,CHIMBORAZO,valor,475
instituciones_provincia,COTOPAXI,valor,513
instituciones_provincia,EL ORO,valor,558
instituciones_provincia,ESMERALDAS,valor,804
instituciones_provincia,GALAPAGOS,valor,24
instituciones_provincia,GUAYAS,valor,2626
instituciones_provincia,IMBABURA,valor,313
instituciones_provincia,LOJA,valor,1081
instituciones_provincia,LOS RIOS,valor,839
instituciones_provincia,MANABI,valor,2166
instituciones_provincia,MORONA SANTIAGO,valor,631
instituciones_provincia,NAPO,valor,270
instituciones_provincia,ORELLANA,valor,376
instituciones_provincia,PASTAZA,valor,292
instituciones_provincia,PICHINCHA,valor,1872
instituciones_provincia,SANTA ELENA,valor,226
instituciones_provincia,SANTO DOMINGO DE LOS TSACHILAS,valor,402
instituciones_provincia,SUCUMBIOS,valor,422
instituciones_provincia,TUNGURAHUA,valor,289
instituciones_provincia,ZAMORA CHINCHIPE,valor,306
instituciones_provincia,ZONA NO DELIMITADA,valor,8
distribucion_territorial,AZUAY,estudiantes,188325
distribucion_territorial,BOLIVAR,estudiantes,45857
distribucion_territorial,CARCHI,estudiantes,37296
distribucion_territorial,CAÑAR,estudiantes,56817
distribucion_territorial,CHIMBORAZO,estudiantes,107125
distribucion_territorial,COTOPAXI,estudiantes,110441
distribucion_territorial,EL ORO,estudiantes,162409
distribucion_territorial,ESMERALDAS,estudiantes,156617
distribucion_territorial,GALAPAGOS,estudiantes,7277
